id,parent_id,name,path,has_make
2692,326,"7""","Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Ηχεία Multimedia » 7""",True
2693,326,"8""","Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Ηχεία Multimedia » 8""",True
334,326,Subwoofer,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Ηχεία Multimedia » Subwoofer,True
331,326,Tweeter,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Ηχεία Multimedia » Tweeter,True
6971,326,Άλλα,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Ηχεία Multimedia » Άλλα,True
2855,326,Κούτα Sub - Κουτί Ηχείων,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Ηχεία Multimedia » Κούτα Sub - Κουτί Ηχείων,True
1674,262,Ηχοσύστημα Κομπλέ,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Ηχοσύστημα Κομπλέ,True
1982,359,1 Din,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Οθόνες » 1 Din,True
1983,359,2 Din,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Οθόνες » 2 Din,True
2685,359,TV Δέκτες,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Οθόνες » TV Δέκτες,True
7931,359,Αναβάθμιση Εργοστασιακής Οθόνης,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Οθόνες » Αναβάθμιση Εργοστασιακής Οθόνης,True
4192,359,Οεμ Οθόνες,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Οθόνες » Οεμ Οθόνες,True
289,359,Προστατευτικά Οθόνης,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Οθόνες » Προστατευτικά Οθόνης,True
9557,359,Προσόψεις,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Οθόνες » Προσόψεις,True
1602,360,Ανοιχτή Ακρόαση,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Προϊόντα Εγκατάστασης » Ανοιχτή Ακρόαση,True
377,360,Ασφάλειες - Ασφαλειοθήκες,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Προϊόντα Εγκατάστασης » Ασφάλειες - Ασφαλειοθήκες,True
376,360,Διακόπτες Κυκλώματος,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Προϊόντα Εγκατάστασης » Διακόπτες Κυκλώματος,True
373,360,Διανομείς,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Προϊόντα Εγκατάστασης » Διανομείς,True
7932,360,Επεξεργαστές Ήχου,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Προϊόντα Εγκατάστασης » Επεξεργαστές Ήχου,True
368,366,Διασυνδέσμους,"Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Προϊόντα Εγκατάστασης » Καλώδια, Καλωδίωση & Kit » Διασυνδέσμους",True
369,366,Εργοστασιακά Kit Καλωδίωσης,"Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Προϊόντα Εγκατάστασης » Καλώδια, Καλωδίωση & Kit » Εργοστασιακά Kit Καλωδίωσης",True
371,366,Καλωδιώσεις,"Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Προϊόντα Εγκατάστασης » Καλώδια, Καλωδίωση & Kit » Καλωδιώσεις",True
370,366,Καλώδιο Ηχου,"Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Προϊόντα Εγκατάστασης » Καλώδια, Καλωδίωση & Kit » Καλώδιο Ηχου",True
367,366,Καλώδιο Ρέυματος,"Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Προϊόντα Εγκατάστασης » Καλώδια, Καλωδίωση & Kit » Καλώδιο Ρέυματος",True
7929,366,Σετ Καλωδίωσης Ενισχυτή,"Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Προϊόντα Εγκατάστασης » Καλώδια, Καλωδίωση & Kit » Σετ Καλωδίωσης Ενισχυτή",True
362,361,"1-1,9 Farad","Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Προϊόντα Εγκατάστασης » Πυκνωτές » 1-1,9 Farad",True
364,361,"2-2,9 Farad","Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Προϊόντα Εγκατάστασης » Πυκνωτές » 2-2,9 Farad",True
363,361,3 Ή Περισσότερα Farad,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Προϊόντα Εγκατάστασης » Πυκνωτές » 3 Ή Περισσότερα Farad,True
374,360,Συνδέσεις & Επαφές,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Προϊόντα Εγκατάστασης » Συνδέσεις & Επαφές,True
372,360,Ταμπλό Kit Εγκατάστασης,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Προϊόντα Εγκατάστασης » Ταμπλό Kit Εγκατάστασης,True
365,360,Υλικά Ακουστικής Ύγρανσης,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Προϊόντα Εγκατάστασης » Υλικά Ακουστικής Ύγρανσης,True
5466,1603,Πλαίσια-Θήκες Ραδιοφώνων,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Ράδιο / CD / Κασετόφωνα » Πλαίσια-Θήκες Ραδιοφώνων,True
1703,1603,Ράδιο-Cd,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Ράδιο / CD / Κασετόφωνα » Ράδιο-Cd,True
1984,1603,Ράδιο-Cd-Mp3,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Ράδιο / CD / Κασετόφωνα » Ράδιο-Cd-Mp3,True
1986,1603,Ράδιο-Cd-Mp3-Sd,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Ράδιο / CD / Κασετόφωνα » Ράδιο-Cd-Mp3-Sd,True
1985,1603,Ράδιο-Cd-Mp3-Usb,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Ράδιο / CD / Κασετόφωνα » Ράδιο-Cd-Mp3-Usb,True
325,1603,Ράδιο-Cd-Κασετόφωνο,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Ράδιο / CD / Κασετόφωνα » Ράδιο-Cd-Κασετόφωνο,True
324,1603,Ράδιο-Mp3-Κασετόφωνο,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Ράδιο / CD / Κασετόφωνα » Ράδιο-Mp3-Κασετόφωνο,True
1952,1603,Ράδιο-Usb-Sd-Κασετόφωνο,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Ράδιο / CD / Κασετόφωνα » Ράδιο-Usb-Sd-Κασετόφωνο,True
323,1603,Ραδιοκασετόφωνα,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Ράδιο / CD / Κασετόφωνα » Ραδιοκασετόφωνα,True
274,262,Ραντάρ & Laser,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Ραντάρ & Laser,True
2033,262,Τοποθετήσεις,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Τοποθετήσεις,True
10722,1534,3d Εκτυπώσεις Ανταλλακτικών,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Αμάξωμα - Είδη Φανοποιίας » 3d Εκτυπώσεις Ανταλλακτικών,True
2048,1534,Clips (κλίπς),Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Αμάξωμα - Είδη Φανοποιίας » Clips (κλίπς),True
1751,1534,Αμορτισέρ Ανύψωσης - Πόρτμπαγκάζ,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Αμάξωμα - Είδη Φανοποιίας » Αμορτισέρ Ανύψωσης - Πόρτμπαγκάζ,True
7050,1534,Αμορτισέρ Καπό,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Αμάξωμα - Είδη Φανοποιίας » Αμορτισέρ Καπό,True
1676,1534,Αφαλοί Πορτών,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Αμάξωμα - Είδη Φανοποιίας » Αφαλοί Πορτών,True
1731,1534,Βάσεις Θόλου,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Αμάξωμα - Είδη Φανοποιίας » Βάσεις Θόλου,True
7254,1534,Βίδες - Πριτσίνια,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Αμάξωμα - Είδη Φανοποιίας » Βίδες - Πριτσίνια,True
1679,1534,Γωνία Καρότσας,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Αμάξωμα - Είδη Φανοποιίας » Γωνία Καρότσας,True
6958,1534,Διάφορα Εξαρτήματα Φανοποιίας,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Αμάξωμα - Είδη Φανοποιίας » Διάφορα Εξαρτήματα Φανοποιίας,True
2323,1534,Επένδυση Καπό,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Αμάξωμα - Είδη Φανοποιίας » Επένδυση Καπό,True
1500,1534,Θόλοι,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Αμάξωμα - Είδη Φανοποιίας » Θόλοι,True
93,1534,Καπό,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Αμάξωμα - Είδη Φανοποιίας » Καπό,True
1572,1534,Κολώνες,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Αμάξωμα - Είδη Φανοποιίας » Κολώνες,True
1675,1534,Μάσκες - Γρίλιες & Εξαρτήματα,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Αμάξωμα - Είδη Φανοποιίας » Μάσκες - Γρίλιες & Εξαρτήματα,True
1490,1534,Μαρσπιέ,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Αμάξωμα - Είδη Φανοποιίας » Μαρσπιέ,True
1492,1534,Μεντεσέδες,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Αμάξωμα - Είδη Φανοποιίας » Μεντεσέδες,True
1530,1534,Μετώπη,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Αμάξωμα - Είδη Φανοποιίας » Μετώπη,True
3316,1534,Μούρη Κομπλέ,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Αμάξωμα - Είδη Φανοποιίας » Μούρη Κομπλέ,True
